1	0.875437
2	0.962984
3	0.984339
4	0.992008
5	0.995405
6	0.997134
7	0.998048
8	0.998634
9	0.998976
10	0.999231
11	0.999402
12	0.999529
13	0.999626
14	0.999703
15	0.999750
16	0.999787
17	0.999824
18	0.999849
19	0.999879
20	0.999892
21	0.999903
22	0.999916
23	0.999931
24	0.999939
25	0.999947
26	0.999953
27	0.999955
28	0.999960
29	0.999962
30	0.999963
31	0.999968
32	0.999972
33	0.999973
34	0.999974
35	0.999977
36	0.999982
37	0.999984
39	0.999985
41	0.999986
42	0.999987
44	0.999988
45	0.999989
46	0.999993
47	0.999995
54	0.999997
60	0.999998
82	0.999999
134	1.000000
